AT,BE,CH,DE,DK,ES,FI,FR,GB,IE,IT,NL,NO,PT,SE
-1.2962196,0.16482076,0.6489438,-0.53899175,0.6212568,0.14704314,0.45125002,1.4000249,-0.86528546,-0.5239034,-0.8801081,-0.4422048,0.54517573,0.11218456,0.39429
-1.6430075,0.34932038,0.71127,-1.3538774,0.06561772,-0.29324982,0.34683955,0.9063693,-0.8288144,-0.6818243,-1.1770314,0.23241065,0.65508693,-0.18607679,0.53449255
-1.8775696,0.1135167,0.4591647,-1.5785371,-0.065232545,-0.76708287,0.54493475,0.49164018,-0.84882903,-0.88482624,-1.6060331,-0.034297783,0.81324124,-0.40002072,0.7222396
-0.30800888,1.7647109,1.9381614,-0.037988167,1.4205074,-0.064445846,1.7645589,1.6754726,1.4686311,0.43569574,-0.81681156,2.139245,1.3086879,1.421269,1.3148035
-1.1336523,2.2337592,2.050059,-0.00012196379,1.6311495,-1.1142234,1.8250253,2.02862,1.4541016,0.5302871,-1.3431469,2.1601923,1.0847683,1.6798927,1.0229752
0.2081708,2.0777345,2.152133,0.6995855,1.5792218,1.126559,1.6043943,1.9072608,1.6068519,0.8665227,0.35478815,0.11062381,0.9862,2.0318856,1.3783647
0.42268088,2.0982893,1.9677497,0.8995463,1.8525867,1.4687544,1.1456065,1.6148062,1.4608063,0.7424133,0.62336934,0.52398777,0.88025093,2.179983,1.0848504
-0.71474314,1.7801465,1.7450923,0.8050315,1.6185696,1.3358691,1.1648659,1.238316,1.3062534,0.6556041,0.6363329,0.22678317,1.167158,1.9721979,1.213701
-1.3380095,0.5675759,0.2756493,-0.56280667,0.6014261,0.07266761,0.91023755,0.30880034,0.47471187,-0.33311066,-0.63589835,-0.94705796,0.9439197,0.5362113,0.8464116
-1.4071395,0.29960054,0.36441544,-1.0671512,0.42363918,-0.63583225,1.213888,0.32831106,0.46515682,-0.53919905,-1.3384192,-1.4332094,0.8859856,-0.1054813,1.1017807
0.0979251,1.6480886,1.9820595,0.9725002,1.8741934,1.1351442,2.001527,1.3346465,1.4226046,0.55618256,0.42586663,0.1569799,1.3331722,1.4806908,1.688682
0.54333174,1.7139752,1.8468256,0.8264722,1.3343549,1.2700647,1.6708955,1.3116586,1.9987675,0.8921494,0.74782586,0.30789867,1.1359828,1.8814342,1.2613442
